model,state,action,rep
TD3,1.2653061151504517,0.6519081592559814,2
TD3,1.3061224222183228,0.6988685131072998,2
TD3,1.3469387292861938,0.7471879720687866,2
TD3,1.387755036354065,0.9049750566482544,2
TD3,1.428571343421936,1.3892430067062378,2
TD3,1.4693877696990967,1.8497796058654785,2
TD3,1.5102040767669678,1.973301649093628,2
TD3,1.5510203838348389,1.9954782724380493,2
TD3,1.59183669090271,1.9992256164550781,2
TD3,1.632652997970581,1.999868392944336,2
TD3,1.6734693050384521,1.9999771118164062,2
TD3,1.7142857313156128,1.9999958276748657,2
TD3,1.7551020383834839,1.9999992847442627,2
TD3,1.795918345451355,1.9999998807907104,2
TD3,1.836734652519226,2,2
TD3,1.8775509595870972,2,2
TD3,1.9183672666549683,2,2
TD3,1.959183692932129,2,2
TD3,2,2,2
