model,state,action,rep
TD3,0.36734694242477417,1.0240334272384644,1
TD3,0.4285714030265808,1.055929273366928,1
TD3,0.48979586362838745,1.0976862609386444,1
TD3,0.5510204136371613,1.1401299834251404,1
TD3,0.6122448742389679,0.7522457242012024,1
TD3,0.6734694242477417,0.3420599699020386,1
TD3,0.7346938848495483,0.2727591097354889,1
TD3,0.795918345451355,0.1289888620376587,1
TD3,0.8571428060531616,0.17858317494392395,1
TD3,0.9183673560619354,0.2065102458000183,1
TD3,0.9795918166637421,0.21572613716125488,1
TD3,1.0408162772655487,0.22532084584236145,1
TD3,1.1020408272743225,0.21024048328399658,1
TD3,1.1632652878761292,0.0015319883823394775,1
TD3,1.2244897484779358,1.7881393432617188e-07,1
TD3,1.2857142984867096,0,1
TD3,1.3469387590885162,0,1
TD3,1.4081632196903229,0,1
TD3,1.4693877696990967,0,1
TD3,1.5306122303009033,0,1
TD3,1.59183669090271,0,1
TD3,1.6530611515045166,0,1
TD3,1.7142856121063232,0,1
TD3,1.7755102515220642,0,1
TD3,1.8367347121238708,0,1
TD3,1.8979591727256775,0,1
TD3,1.9591836333274841,0,1
TD3,2.0204080939292908,0,1
TD3,2.0816325545310974,0,1
TD3,2.142857015132904,0,1
TD3,2.204081654548645,0,1
TD3,2.2653061151504517,0,1
TD3,2.3265305757522583,0,1
TD3,2.387755036354065,0,1
TD3,2.4489794969558716,0,1
TD3,2.5102039575576782,0,1
TD3,2.571428596973419,0,1
TD3,2.632653057575226,0,1
TD3,2.6938775181770325,0,1
TD3,2.755101978778839,0,1
TD3,2.8163264393806458,0,1
TD3,2.8775508999824524,0,1
TD3,2.9387755393981934,0,1
TD3,3,0,1
TD3,0,0.0125502347946167,2
TD3,0.06122446060180664,0.02255585789680481,2
TD3,0.12244901061058044,0.06071045994758606,2
TD3,0.18367347121238708,0.2679052948951721,2
TD3,0.24489793181419373,0.9859365820884705,2
TD3,0.30612248182296753,1.0048946142196655,2
TD3,0.36734694242477417,1.0240334272384644,2
TD3,0.4285714030265808,1.055929273366928,2
TD3,0.48979586362838745,1.0976862609386444,2
TD3,0.5510204136371613,1.1401299834251404,2
TD3,0.6122448742389679,0.7522457242012024,2
TD3,0.6734694242477417,0.3420599699020386,2
TD3,0.7346938848495483,0.2727591097354889,2
TD3,0.795918345451355,0.1289888620376587,2
TD3,0.8571428060531616,0.17858317494392395,2
TD3,0.9183673560619354,0.2065102458000183,2
TD3,0.9795918166637421,0.21572613716125488,2
TD3,1.0408162772655487,0.22532084584236145,2
TD3,1.1020408272743225,0.21024048328399658,2
TD3,1.1632652878761292,0.0015319883823394775,2
TD3,1.2244897484779358,1.7881393432617188e-07,2
TD3,1.2857142984867096,0,2
TD3,1.3469387590885162,0,2
TD3,1.4081632196903229,0,2
TD3,1.4693877696990967,0,2
TD3,1.5306122303009033,0,2
TD3,1.59183669090271,0,2
TD3,1.6530611515045166,0,2
TD3,1.7142856121063232,0,2
TD3,1.7755102515220642,0,2
TD3,1.8367347121238708,0,2
TD3,1.8979591727256775,0,2
TD3,1.9591836333274841,0,2
TD3,2.0204080939292908,0,2
TD3,2.0816325545310974,0,2
TD3,2.142857015132904,0,2
TD3,2.204081654548645,0,2
TD3,2.2653061151504517,0,2
TD3,2.3265305757522583,0,2
TD3,2.387755036354065,0,2
TD3,2.4489794969558716,0,2
TD3,2.5102039575576782,0,2
TD3,2.571428596973419,0,2
TD3,2.632653057575226,0,2
TD3,2.6938775181770325,0,2
TD3,2.755101978778839,0,2
TD3,2.8163264393806458,0,2
TD3,2.8775508999824524,0,2
TD3,2.9387755393981934,0,2
TD3,3,0,2
TD3,0,0.0125502347946167,3
TD3,0.06122446060180664,0.02255585789680481,3
TD3,0.12244901061058044,0.06071045994758606,3
TD3,0.18367347121238708,0.2679052948951721,3
TD3,0.24489793181419373,0.9859365820884705,3
TD3,0.30612248182296753,1.0048946142196655,3
TD3,0.36734694242477417,1.0240334272384644,3
TD3,0.4285714030265808,1.055929273366928,3
TD3,0.48979586362838745,1.0976862609386444,3
TD3,0.5510204136371613,1.1401299834251404,3
TD3,0.6122448742389679,0.7522457242012024,3
TD3,0.6734694242477417,0.3420599699020386,3
TD3,0.7346938848495483,0.2727591097354889,3
TD3,0.795918345451355,0.1289888620376587,3
TD3,0.8571428060531616,0.17858317494392395,3
TD3,0.9183673560619354,0.2065102458000183,3
TD3,0.9795918166637421,0.21572613716125488,3
TD3,1.0408162772655487,0.22532084584236145,3
TD3,1.1020408272743225,0.21024048328399658,3
TD3,1.1632652878761292,0.0015319883823394775,3
TD3,1.2244897484779358,1.7881393432617188e-07,3
TD3,1.2857142984867096,0,3
TD3,1.3469387590885162,0,3
TD3,1.4081632196903229,0,3
TD3,1.4693877696990967,0,3
TD3,1.5306122303009033,0,3
TD3,1.59183669090271,0,3
TD3,1.6530611515045166,0,3
TD3,1.7142856121063232,0,3
TD3,1.7755102515220642,0,3
TD3,1.8367347121238708,0,3
TD3,1.8979591727256775,0,3
TD3,1.9591836333274841,0,3
TD3,2.0204080939292908,0,3
TD3,2.0816325545310974,0,3
TD3,2.142857015132904,0,3
TD3,2.204081654548645,0,3
TD3,2.2653061151504517,0,3
TD3,2.3265305757522583,0,3
TD3,2.387755036354065,0,3
TD3,2.4489794969558716,0,3
TD3,2.5102039575576782,0,3
TD3,2.571428596973419,0,3
TD3,2.632653057575226,0,3
TD3,2.6938775181770325,0,3
TD3,2.755101978778839,0,3
TD3,2.8163264393806458,0,3
TD3,2.8775508999824524,0,3
TD3,2.9387755393981934,0,3
TD3,3,0,3
TD3,0,0.0125502347946167,4
TD3,0.06122446060180664,0.02255585789680481,4
TD3,0.12244901061058044,0.06071045994758606,4
TD3,0.18367347121238708,0.2679052948951721,4
TD3,0.24489793181419373,0.9859365820884705,4
TD3,0.30612248182296753,1.0048946142196655,4
TD3,0.36734694242477417,1.0240334272384644,4
TD3,0.4285714030265808,1.055929273366928,4
TD3,0.48979586362838745,1.0976862609386444,4
TD3,0.5510204136371613,1.1401299834251404,4
TD3,0.6122448742389679,0.7522457242012024,4
TD3,0.6734694242477417,0.3420599699020386,4
TD3,0.7346938848495483,0.2727591097354889,4
TD3,0.795918345451355,0.1289888620376587,4
TD3,0.8571428060531616,0.17858317494392395,4
TD3,0.9183673560619354,0.2065102458000183,4
TD3,0.9795918166637421,0.21572613716125488,4
TD3,1.0408162772655487,0.22532084584236145,4
TD3,1.1020408272743225,0.21024048328399658,4
TD3,1.1632652878761292,0.0015319883823394775,4
TD3,1.2244897484779358,1.7881393432617188e-07,4
TD3,1.2857142984867096,0,4
TD3,1.3469387590885162,0,4
TD3,1.4081632196903229,0,4
TD3,1.4693877696990967,0,4
TD3,1.5306122303009033,0,4
TD3,1.59183669090271,0,4
TD3,1.6530611515045166,0,4
TD3,1.7142856121063232,0,4
TD3,1.7755102515220642,0,4
TD3,1.8367347121238708,0,4
TD3,1.8979591727256775,0,4
TD3,1.9591836333274841,0,4
TD3,2.0204080939292908,0,4
TD3,2.0816325545310974,0,4
TD3,2.142857015132904,0,4
TD3,2.204081654548645,0,4
TD3,2.2653061151504517,0,4
TD3,2.3265305757522583,0,4
TD3,2.387755036354065,0,4
TD3,2.4489794969558716,0,4
TD3,2.5102039575576782,0,4
TD3,2.571428596973419,0,4
TD3,2.632653057575226,0,4
TD3,2.6938775181770325,0,4
TD3,2.755101978778839,0,4
TD3,2.8163264393806458,0,4
TD3,2.8775508999824524,0,4
TD3,2.9387755393981934,0,4
TD3,3,0,4
TD3,0,0.0125502347946167,5
TD3,0.06122446060180664,0.02255585789680481,5
TD3,0.12244901061058044,0.06071045994758606,5
TD3,0.18367347121238708,0.2679052948951721,5
TD3,0.24489793181419373,0.9859365820884705,5
TD3,0.30612248182296753,1.0048946142196655,5
TD3,0.36734694242477417,1.0240334272384644,5
TD3,0.4285714030265808,1.055929273366928,5
TD3,0.48979586362838745,1.0976862609386444,5
TD3,0.5510204136371613,1.1401299834251404,5
TD3,0.6122448742389679,0.7522457242012024,5
TD3,0.6734694242477417,0.3420599699020386,5
TD3,0.7346938848495483,0.2727591097354889,5
TD3,0.795918345451355,0.1289888620376587,5
